,Preinstalled capacity,Added capacity,Total capacity,Max capacity
BATTERIES power,0.0,9.599691547987945,9.599691547987945,200.0
BATTERIES energy,0.0,26.333898075979544,26.333898075979544,1000
CO2_STORAGE power,0.0,0.0,0.0,20.0
CO2_STORAGE energy,0.0,0.0,0.0,100.0
H2_STORAGE power,0.0,0.0,0.0,250.0
H2_STORAGE energy,0.0,0.0,0.0,250.0
NG_STORAGE power,7.0,0.0,7.0,7
NG_STORAGE energy,8000.0,0.0,8000.0,8000
PUMPED_HYDRO power,1.3,0.0,1.3,1.3
PUMPED_HYDRO energy,5.3,0.0,5.3,5.3
BIOMASS,0.0,0.0,0.0,0
BIOMETHANE,0.0,1.6526431315163712,1.6526431315163712,2.4110478562533357
CCGT,0.0,11.014985929614038,11.014985929614038,100
CHP,0.0,0.0,0.0,0
DAC,0.0,0.8808466706316638,0.8808466706316638,3.5
ELECTROLYSIS_PLANTS,0.0,0.005711133389422947,0.005711133389422947,100
FUEL_CELLS,0.0,0.0,0.0,100
LINEPACK_NG,35.581,0.0,35.581,Not given
LOAD_SHEDDING_1,0.128,0.0,0.128,0.2
LOAD_SHEDDING_2,0.446,0.0,0.446,0.7
LOAD_SHEDDING_4,0.534,0.0,0.534,0.607
LOAD_SHEDDING_8,0.383,0.0,0.383,0.6
LOAD_SHEDDING_UNLIM,0.191,0.10899999999999999,0.3,0.3
LOAD_SHIFTING,-1.5,0.0,-1.5,Not given
METHANATION,0.0,0.0,0.0,100
NUCLEAR,0.0,0.0,0.0,0
OCGT,0.0,0.0,0.0,100
PCCC_BM,0.0,0.0,0.0,5
PCCC_CCGT,0.0,2.031398634306348,2.031398634306348,5
PCCC_CHP,0.0,0.0,0.0,5
PCCC_OCGT,0.0,0.0,0.0,5
PCCC_SMR,0.0,0.0,0.0,5
PCCC_WS,0.0,0.0,0.0,5
PV,0.0,28.34620554854863,28.34620554854863,100
SMR,0.0,0.0,0.0,100
WASTE,0.0,0.0,0.0,0
WIND_ONSHORE,0.0,20.5,20.5,20.5
